"GeneID","GeneSymbol","log2FC","pvalue","padj"
"GENE_0005","Gene5",1.60035216174502,9.11019307830231e-11,9.11019307830231e-08
"GENE_0096","Gene96",1.72694530909018,4.91270618696944e-11,9.11019307830231e-08
"GENE_0152","Gene152",2.00969270091289,8.23163802239898e-11,9.11019307830231e-08
"GENE_0169","Gene169",1.53276661418393,1.76842605971985e-10,1.06105563583191e-07
"GENE_0188","Gene188",1.41024604573458,1.65584912406848e-10,1.06105563583191e-07
"GENE_0041","Gene41",1.49512165891461,2.26274227459441e-10,1.13137113729721e-07
"GENE_0172","Gene172",1.78903918664793,4.1131566036453e-10,1.76278140156227e-07
"GENE_0003","Gene3",1.47471426826838,6.19855701187289e-10,2.0661856706243e-07
"GENE_0159","Gene159",1.7764663788842,5.79511717062672e-10,2.0661856706243e-07
"GENE_0030","Gene30",1.79854170708044,7.23953073972855e-10,2.17185922191856e-07
"GENE_0048","Gene48",1.58881729166451,8.73052296949689e-10,2.18263074237422e-07
"GENE_0194","Gene194",1.57720776658735,8.3491831580863e-10,2.18263074237422e-07
"GENE_0129","Gene129",1.55728722128969,1.17793110545542e-09,2.71830255105096e-07
"GENE_0124","Gene124",1.52162783361496,1.32602723698242e-09,2.8414869363909e-07
"GENE_0190","Gene190",1.98317623737244,1.62219373238862e-09,3.24438746477723e-07
"GENE_0006","Gene6",1.46289922959424,1.86677481328159e-09,3.29430849402633e-07
"GENE_0125","Gene125",2.08299357714534,1.81959507314613e-09,3.29430849402633e-07
"GENE_0027","Gene27",1.78958337149748,1.99735265831742e-09,3.3289210971957e-07
"GENE_0053","Gene53",1.66418578631327,2.69006513719253e-09,4.24747126925136e-07
"GENE_0039","Gene39",1.63502095589249,2.86803144030754e-09,4.30204716046132e-07
"GENE_0081","Gene81",1.66731616932578,3.89271274329133e-09,5.56101820470191e-07
"GENE_0162","Gene162",1.37870816318209,4.67690030828775e-09,6.3775913294833e-07
"GENE_0073","Gene73",1.64956966925443,5.2319941567079e-09,6.82434020440161e-07
"GENE_0137","Gene137",1.36445122281293,5.62943907286453e-09,6.98987362124053e-07
"GENE_0138","Gene138",1.68285458023442,5.8248946843671e-09,6.98987362124053e-07
"GENE_0105","Gene105",1.5334485699143,6.71984403611969e-09,7.75366619552271e-07
"GENE_0026","Gene26",1.58884605540003,7.38232458738474e-09,8.20258287487194e-07
"GENE_0068","Gene68",1.58039320744964,8.12678150876814e-09,8.40701535389808e-07
"GENE_0155","Gene155",1.40391057626659,7.87389620864184e-09,8.40701535389808e-07
"GENE_0065","Gene65",1.45733745132713,1.13110947362871e-08,1.13110947362871e-06
"GENE_0086","Gene86",1.51461899441923,1.25375299002495e-08,1.21330934518544e-06
"GENE_0101","Gene101",1.35794023176749,1.34501904885805e-08,1.26095535830442e-06
"GENE_0182","Gene182",1.51714598328583,1.40786468428071e-08,1.27987698570974e-06
"GENE_0036","Gene36",1.59506774945465,1.6030709714214e-08,1.4144743865483e-06
"GENE_0180","Gene180",1.40877320295593,1.66039603350436e-08,1.4231966001466e-06
"GENE_0157","Gene157",1.53499461648033,1.72490741195534e-08,1.43742284329611e-06
"GENE_0016","Gene16",1.36080470405609,1.8772452186891e-08,1.52209071785602e-06
"GENE_0023","Gene23",1.78126060661944,2.17340881756215e-08,1.71584906649644e-06
"GENE_0187","Gene187",1.61092004085347,2.26505625257255e-08,1.74235096351734e-06
"GENE_0037","Gene37",1.68748493236246,2.65240037891326e-08,1.8424862505704e-06
"GENE_0057","Gene57",1.45739796817877,2.68241792561903e-08,1.8424862505704e-06
"GENE_0061","Gene61",1.71008287288195,2.57891228275454e-08,1.8424862505704e-06
"GENE_0067","Gene67",1.57263899138454,2.74946438998553e-08,1.8424862505704e-06
"GENE_0094","Gene94",1.54079176611874,2.52320067910857e-08,1.8424862505704e-06
"GENE_0109","Gene109",1.63630324614446,2.76372937585561e-08,1.8424862505704e-06
"GENE_0160","Gene160",1.47656454751072,2.90423119073025e-08,1.89406382004147e-06
"GENE_0033","Gene33",1.6706714476082,3.05686935167002e-08,1.90419012711815e-06
"GENE_0117","Gene117",1.51865692733239,3.11017720762631e-08,1.90419012711815e-06
"GENE_0183","Gene183",1.60331510127126,3.02598596100788e-08,1.90419012711815e-06
"GENE_0074","Gene74",1.80624263144849,3.24479550619196e-08,1.93912899012557e-06
"GENE_0078","Gene78",1.2957242134063,3.32008386154761e-08,1.93912899012557e-06
"GENE_0147","Gene147",1.41017693434122,3.36115691621766e-08,1.93912899012557e-06
"GENE_0111","Gene111",1.49213850160422,3.54921074097043e-08,2.00898721187006e-06
"GENE_0107","Gene107",1.64830766063861,3.65005745801478e-08,2.0278096988971e-06
"GENE_0020","Gene20",1.49180428426654,3.78418938866344e-08,2.06410330290733e-06
"GENE_0060","Gene60",1.44816776240988,3.92215840861713e-08,2.1011562903306e-06
"GENE_0158","Gene158",1.72250490092964,4.05268460308411e-08,2.13299189636006e-06
"GENE_0088","Gene88",1.64064032901203,4.30287766489334e-08,2.2256263783931e-06
"GENE_0144","Gene144",1.67457393949939,4.50035488304648e-08,2.27462186047202e-06
"GENE_0167","Gene167",1.43072365262241,4.54924372094405e-08,2.27462186047202e-06
"GENE_0114","Gene114",1.47669195493762,4.81017810856011e-08,2.36566136486563e-06
"GENE_0024","Gene24",1.56517007819906,5.05968386556638e-08,2.40937326931732e-06
"GENE_0136","Gene136",1.70462916591634,4.98935679748959e-08,2.40937326931732e-06
"GENE_0045","Gene45",1.61246251728752,5.14496815009167e-08,2.41170382035547e-06
